regiao,variavel_climatica,lag_semanas,municipios_total,municipios_correlacao_valida,observacoes_validas_mediana,correlacao_media,correlacao_mediana,correlacao_p10,correlacao_p25,correlacao_p75,correlacao_p90,proporcao_correlacao_positiva,proporcao_correlacao_negativa
Sudeste,temperatura_media_c,1,1668.0,1668.0,521.0,0.12426028877506842,0.126731653553583,-0.0004166753591430314,0.06088929166128939,0.19381528825995784,0.24331280944981826,0.8986810551558753,0.1013189448441247
Sul,temperatura_media_c,1,1191.0,1181.0,521.0,0.07577169549602171,0.07503839378906674,0.0031994540059161296,0.0367984812652622,0.11358880631350819,0.14782827587964092,0.9093988145639289,0.09060118543607112
Centro-Oeste,temperatura_media_c,1,468.0,468.0,521.0,-0.07638507879985763,-0.07923177123460398,-0.1947184682931286,-0.13706362065271854,-0.021943346907144903,0.05004665352315114,0.19658119658119658,0.8034188034188035
Norte,umidade_relativa_media_pct,1,450.0,450.0,521.0,0.16601373897485472,0.16090663896093016,0.009160961226156472,0.074876367605509,0.24479502189793012,0.31437124641357955,0.9133333333333333,0.08666666666666667
Nordeste,umidade_relativa_media_pct,1,1793.0,1793.0,521.0,0.1771813132009003,0.17616479198723128,0.06401897217987829,0.11397303637501985,0.23532344919935674,0.2918822425635976,0.9843837144450641,0.015616285554935862
Sudeste,umidade_relativa_media_pct,1,1668.0,1668.0,521.0,0.12345659387567247,0.12110646514392928,0.015493730283427916,0.060408870480859404,0.17973468238730234,0.23962904194100787,0.9316546762589928,0.0683453237410072
Sul,umidade_relativa_media_pct,1,1191.0,1181.0,521.0,0.060477862200294503,0.059882019305863114,-0.00592350932494821,0.022087338666719046,0.09701272395791191,0.1308156293408376,0.8746824724809483,0.12447078746824725
Centro-Oeste,umidade_relativa_media_pct,1,468.0,468.0,521.0,0.23125667846341927,0.23098103840859213,0.11828713378839129,0.15884124498587915,0.2908844291857008,0.3594527610285616,0.9935897435897436,0.00641025641025641
Norte,precipitacao_total_mm,1,450.0,450.0,521.0,0.15395314096113769,0.14468995928800307,0.026280863834763853,0.07796590938903433,0.21829523935962425,0.2906427269638555,0.9466666666666667,0.05333333333333334
Nordeste,precipitacao_total_mm,1,1793.0,1793.0,521.0,0.12879966468397194,0.12617952072984337,0.03240937444426366,0.07484848231804038,0.18109611515374271,0.22759845865216802,0.9604015616285555,0.03959843837144451
Sudeste,precipitacao_total_mm,1,1668.0,1668.0,521.0,0.04670748021163171,0.043192223446844084,-0.03551448436036707,-0.0002526318126120816,0.08950788169635054,0.13508426216397657,0.7482014388489209,0.2517985611510791
Sul,precipitacao_total_mm,1,1191.0,1181.0,521.0,0.020251586176155977,0.02055687294738677,-0.041304185750622294,-0.012951617171887392,0.05469329963330189,0.0821864279810583,0.6613039796782387,0.3386960203217612
Centro-Oeste,precipitacao_total_mm,1,468.0,468.0,521.0,0.13278133848461396,0.13174156471344334,0.02702748251240287,0.07037950824982983,0.1888508576156169,0.23789680397080545,0.9444444444444444,0.05555555555555555
Norte,temperatura_media_c,2,450.0,450.0,520.0,-0.1200881683606194,-0.11527855992170266,-0.26606512317309816,-0.19955012210962045,-0.032595964355020865,0.030275204726513693,0.1622222222222222,0.8377777777777777
Nordeste,temperatura_media_c,2,1793.0,1793.0,520.0,-0.07493274926878454,-0.08127704205098396,-0.22681617523643327,-0.15986093438152313,0.004906897885492163,0.0970913222231554,0.2649191299498048,0.7350808700501952
Sudeste,temperatura_media_c,2,1668.0,1668.0,520.0,0.15428855614794762,0.15463427004625557,0.03516230348834706,0.09547351654574356,0.21757351104028272,0.2685905961274846,0.9484412470023981,0.05155875299760192
Sul,temperatura_media_c,2,1191.0,1181.0,520.0,0.10341475514911014,0.10236537969685028,0.025009930463793226,0.06152810077302847,0.14405119737693267,0.18225252247933738,0.9635901778154107,0.03640982218458933
Centro-Oeste,temperatura_media_c,2,468.0,468.0,520.0,-0.05969052296734083,-0.06420509939902565,-0.18785701457572804,-0.12008865757098058,-0.002148943334356911,0.08593576982919428,0.24572649572649571,0.7542735042735043
Norte,umidade_relativa_media_pct,2,450.0,450.0,520.0,0.1715917591653746,0.1716718312380771,0.01942198832536655,0.08084414169481285,0.2473564415492314,0.31964271299451885,0.9177777777777778,0.08222222222222222
Nordeste,umidade_relativa_media_pct,2,1793.0,1793.0,520.0,0.18300664466874322,0.1812328086772872,0.06987375326902653,0.11802611750118219,0.24362398205755867,0.2983324352445276,0.9877300613496932,0.012269938650306749
Sudeste,umidade_relativa_media_pct,2,1668.0,1668.0,520.0,0.13810548616191712,0.1345242465938557,0.025637521127150717,0.07098727621551672,0.1998652271273172,0.25745847591245163,0.9484412470023981,0.05155875299760192
Sul,umidade_relativa_media_pct,2,1191.0,1181.0,520.0,0.05839885142142323,0.05786210878158213,-0.007260088270527776,0.022885284314901597,0.0948507526076265,0.12416921838902152,0.8780694326841659,0.12193056731583404
Centro-Oeste,umidade_relativa_media_pct,2,468.0,468.0,520.0,0.25606383345437767,0.2520458839027352,0.13179209495186017,0.17990920374146707,0.31876970644742686,0.38417916532989077,0.9935897435897436,0.00641025641025641
Norte,precipitacao_total_mm,2,450.0,450.0,520.0,0.16537953626515114,0.16081464844610588,0.032844716437996725,0.08593284121988055,0.23141234938059332,0.30779275332845696,0.9466666666666667,0.05333333333333334
Nordeste,precipitacao_total_mm,2,1793.0,1793.0,520.0,0.1422914430958086,0.13893542455178198,0.0471231750068093,0.08726642371161628,0.19501554091651727,0.24210213310882098,0.9760178471834914,0.023982152816508645
Sudeste,precipitacao_total_mm,2,1668.0,1668.0,520.0,0.07452737976405252,0.06887289333347688,-0.008023889147040334,0.029483830568634385,0.11802437700387068,0.16524243699659585,0.8752997601918465,0.12470023980815348
Sul,precipitacao_total_mm,2,1191.0,1181.0,520.0,0.026848593049006803,0.027529700804406927,-0.032409791308842924,-0.0003711204584683605,0.05708288281967427,0.0829062744593869,0.7468247248094835,0.2531752751905165
Centro-Oeste,precipitacao_total_mm,2,468.0,468.0,520.0,0.1678704633370706,0.16616531612386656,0.061150631658110514,0.10144180087519146,0.22655393286107622,0.2822287681008863,0.9743589743589743,0.02564102564102564
Norte,temperatura_media_c,3,450.0,450.0,519.0,-0.11943415062018628,-0.11630019603510929,-0.27248556551637015,-0.20418250804424112,-0.027444195247349704,0.0335120851088842,0.17555555555555555,0.8244444444444444
Nordeste,temperatura_media_c,3,1793.0,1793.0,519.0,-0.06440475974141725,-0.07150446304875518,-0.22906031962846785,-0.1553093467172984,0.023390121555784862,0.1223763928599979,0.290574456218628,0.709425543781372
Sudeste,temperatura_media_c,3,1668.0,1668.0,519.0,0.18132942818307965,0.1829729685695617,0.06797396826216547,0.1258049300114496,0.2407520737726,0.2937367025476809,0.9724220623501199,0.027577937649880094
Sul,temperatura_media_c,3,1191.0,1181.0,519.0,0.12901398237139883,0.12774390351836806,0.049045860148335424,0.08144997590723527,0.1723760584723125,0.21562237011656035,0.9762912785774767,0.023708721422523286
Centro-Oeste,temperatura_media_c,3,468.0,468.0,519.0,-0.04237749659964507,-0.04512078784415183,-0.18454448542912455,-0.09746843586383379,0.021345774142500558,0.11285906008663568,0.297008547008547,0.7029914529914529
Norte,umidade_relativa_media_pct,3,450.0,450.0,519.0,0.17445591090802634,0.17907852642307054,0.015185963350438581,0.0848530860295688,0.2565984269967375,0.3201099553649012,0.9177777777777778,0.08222222222222222
Nordeste,umidade_relativa_media_pct,3,1793.0,1793.0,519.0,0.1858620161031057,0.18149371171004736,0.0695958463545439,0.12032790276536234,0.24748481596552782,0.3058283287221065,0.9843837144450641,0.015616285554935862
Sudeste,umidade_relativa_media_pct,3,1668.0,1668.0,519.0,0.15182993735690653,0.14662942578953123,0.033067866343891465,0.0833640459796868,0.21656036164488449,0.27873042254993474,0.9592326139088729,0.0407673860911271
Sul,umidade_relativa_media_pct,3,1191.0,1181.0,519.0,0.05274753079549541,0.05116837197839208,-0.017163974897642206,0.016617525303678344,0.09035732498318841,0.11997557544693566,0.8348856900931414,0.1651143099068586
Centro-Oeste,umidade_relativa_media_pct,3,468.0,468.0,519.0,0.2783366806797101,0.2760066695356015,0.1457111581973322,0.20166995294425466,0.3473637390058101,0.42107484540743084,0.9957264957264957,0.004273504273504274
Norte,precipitacao_total_mm,3,450.0,450.0,519.0,0.17359842929837044,0.1710034068917087,0.03704107580706131,0.09260521863311802,0.24634040534488247,0.31701427395290366,0.9533333333333334,0.04666666666666667
Nordeste,precipitacao_total_mm,3,1793.0,1793.0,519.0,0.15180199839897152,0.14801392003931466,0.05062611643896087,0.09710971621288937,0.20476723101917008,0.2527891751518364,0.9832682654768544,0.016731734523145567
Sudeste,precipitacao_total_mm,3,1668.0,1668.0,519.0,0.10132006694969849,0.09835651063340271,0.014819886273528189,0.054636277778727836,0.1440444684588037,0.18958002152530182,0.9358513189448441,0.06414868105515588
Sul,precipitacao_total_mm,3,1191.0,1181.0,519.0,0.03405499266823799,0.0341519466147742,-0.021263913236565013,0.0040647995657809655,0.0639151187665176,0.08859518032679453,0.7781541066892464,0.2218458933107536
Centro-Oeste,precipitacao_total_mm,3,468.0,468.0,519.0,0.19972059810377757,0.1980887478923909,0.08630798786887284,0.13638682144588138,0.25579181497054787,0.31935534071473143,0.9935897435897436,0.00641025641025641
Norte,temperatura_media_c,4,450.0,450.0,518.0,-0.11599999551048064,-0.11113303479059716,-0.2723116847626205,-0.20098454056566184,-0.023752470688841357,0.03941547264189257,0.18444444444444444,0.8155555555555556
Nordeste,temperatura_media_c,4,1793.0,1793.0,518.0,-0.05305523529079372,-0.06354469814751164,-0.22747538114587712,-0.147506434935041,0.035064880448265355,0.14457799510916972,0.3279419966536531,0.6720580033463469
Sudeste,temperatura_media_c,4,1668.0,1668.0,518.0,0.20666895238291652,0.20829094793380148,0.09189660731881263,0.15329120978102997,0.26497219751992807,0.3181517555618422,0.988009592326139,0.011990407673860911
Sul,temperatura_media_c,4,1191.0,1181.0,518.0,0.15363089841562766,0.15376732339764573,0.059663057770012434,0.10383736914517505,0.20116084658003558,0.2491791763306737,0.9856054191363252,0.014394580863674851
