ano_epidemiologico,codigo_uf_ibge,nome_uf_ibge,regiao,casos_provaveis,populacao_uf,unidades_territoriais,unidades_territoriais_com_casos,incidencia_anual_100mil,proporcao_unidades_com_casos,participacao_casos_nacional_ano
2017,50,Mato Grosso do Sul,Centro-Oeste,2390,2713147,79,76,88.08958747904187,0.9620253164556962,0.009895333046272067
2017,51,Mato Grosso,Centro-Oeste,9330,3344544,141,126,278.96179568873964,0.8936170212765957,0.03862906164088636
2017,52,Goiás,Centro-Oeste,64032,6778772,246,227,944.5958648557585,0.9227642276422764,0.265112119505813
2017,53,Distrito Federal,Centro-Oeste,3974,3039444,1,1,130.74759725791952,1.0,0.016453578881123514
2018,11,Rondônia,Norte,543,1757589,52,44,30.894594811414954,0.8461538461538461,0.00202789759677329
2018,12,Acre,Norte,7297,869265,22,20,839.4448183235263,0.9090909090909091,0.027251507852034434
2018,13,Amazonas,Norte,2378,4080611,62,43,58.27558667072161,0.6935483870967742,0.00888092170373275
2018,14,Roraima,Norte,113,576568,15,12,19.598729031094337,0.8,0.000422011838739193
2018,15,Pará,Norte,3786,8513497,144,121,44.470562449249705,0.8402777777777778,0.014139263906783934
2018,16,Amapá,Norte,757,829494,16,15,91.26045516905488,0.9375,0.0028271058577483987
2018,17,Tocantins,Norte,2967,1555229,139,114,190.77576356922359,0.8201438848920863,0.01108061173043527
2018,21,Maranhão,Nordeste,2153,7035055,217,128,30.603882983146544,0.5898617511520737,0.008040632644296304
2018,22,Piauí,Nordeste,1924,3264531,224,99,58.93649041776598,0.4419642857142857,0.007185405112692099
2018,23,Ceará,Nordeste,4147,9075649,184,129,45.69370190495467,0.7010869565217391,0.015487461019924187
2018,24,Rio Grande do Norte,Nordeste,23617,3479010,167,152,678.8425442870242,0.9101796407185628,0.08820047429649133
2018,25,Paraíba,Nordeste,10864,3996496,223,191,271.838130202057,0.8565022421524664,0.04057289040763356
2018,26,Pernambuco,Nordeste,11247,9496294,185,173,118.43567606478908,0.9351351351351351,0.04200324911769649
2018,27,Alagoas,Nordeste,2247,3322820,102,72,67.6232838372226,0.7058823529411765,0.008391686740238642
2018,28,Sergipe,Nordeste,236,2278308,75,48,10.358564338096517,0.64,0.0008813698578977835
2018,29,Bahia,Nordeste,9785,14812617,417,243,66.05854995103161,0.5827338129496403,0.03654323754038056
2018,31,Minas Gerais,Sudeste,29969,21040662,853,595,142.4337314101619,0.6975381008206331,0.11192276809889269
2018,32,Espírito Santo,Sudeste,10482,3972388,78,76,263.87150499900815,0.9743589743589743,0.03914626631561257
2018,33,Rio de Janeiro,Sudeste,14993,17159960,92,87,87.37199853612712,0.9456521739130435,0.05599312830280283
2018,35,São Paulo,Sudeste,19235,45538936,645,520,42.23858018992802,0.8062015503875969,0.07183537803671129
2018,41,Paraná,Sul,1432,11348937,399,197,12.61792183708483,0.49373433583959897,0.005347973036057737
2018,42,Santa Catarina,Sul,186,7075494,295,67,2.6287917140485173,0.2271186440677966,0.0006946389558007955
2018,43,Rio Grande do Sul,Sul,135,11329605,497,71,1.1915684615659592,0.14285714285714285,0.0005041734356618677
2018,50,Mato Grosso do Sul,Centro-Oeste,5646,2748023,79,71,205.45679566728518,0.8987341772151899,0.02108565346479189
2018,51,Mato Grosso,Centro-Oeste,7292,3441998,141,125,211.85369660296143,0.8865248226950354,0.027232834761824733
2018,52,Goiás,Centro-Oeste,91805,6921161,246,235,1326.4393069313082,0.9552845528455285,0.3428566093402797
2018,53,Distrito Federal,Centro-Oeste,2529,2974703,1,1,85.01689076186766,1.0,0.009444849028065654
2019,11,Rondônia,Norte,1002,1777225,52,42,56.38003066578514,0.8076923076923077,0.0006458807376705751
2019,12,Acre,Norte,10153,881935,22,22,1151.2186272230947,1.0,0.006544538053462424
2019,13,Amazonas,Norte,4079,4144597,62,44,98.41728882204951,0.7096774193548387,0.002629288951056163
2019,14,Roraima,Norte,1605,605761,15,15,264.95598098920203,1.0,0.0010345694450711307
2019,15,Pará,Norte,5446,8602865,144,121,63.30449216627251,0.8402777777777778,0.003510445606141668
2019,16,Amapá,Norte,185,845731,16,12,21.87456768168602,0.75,0.00011924943759386865
2019,17,Tocantins,Norte,13605,1572866,139,133,864.9815050996081,0.9568345323741008,0.008769668099808557
2019,21,Maranhão,Nordeste,5679,7075181,217,179,80.26649777581662,0.8248847926267281,0.0036606354383544866
2019,22,Piauí,Nordeste,7990,3273227,224,170,244.10161592825673,0.7589285714285714,0.005150286520946003
2019,23,Ceará,Nordeste,16276,9132078,184,160,178.2288762754764,0.8695652173913043,0.010491372142042195
2019,24,Rio Grande do Norte,Nordeste,31809,3506853,167,160,907.0525625111745,0.9580838323353293,0.020503812759045233
2019,25,Paraíba,Nordeste,18992,4018127,223,208,472.65803196364874,0.9327354260089686,0.0122420828042311
2019,26,Pernambuco,Nordeste,37895,9557071,185,184,396.512697247933,0.9945945945945946,0.024426796960106228
2019,27,Alagoas,Nordeste,21020,3337357,102,99,629.8397204734165,0.9705882352941176,0.013549314476881723
2019,28,Sergipe,Nordeste,5971,2298696,75,74,259.75596599115323,0.9866666666666667,0.0038488561722864307
2019,29,Bahia,Nordeste,67861,14873064,417,388,456.26778718897464,0.9304556354916067,0.0437426274840947
2019,31,Minas Gerais,Sudeste,477300,21168791,853,797,2254.7343398118483,0.9343493552168816,0.3076635489921811
2019,32,Espírito Santo,Sudeste,64590,4018650,78,78,1607.2561681161585,1.0,0.04163416850912419
2019,33,Rio de Janeiro,Sudeste,32120,17264943,92,90,186.04173787309927,0.9782608695652174,0.020704280732513843
2019,35,São Paulo,Sudeste,442958,45919049,645,635,964.6497687702548,0.9844961240310077,0.28552698582543173
2019,41,Paraná,Sul,45592,11433957,399,330,398.7420977707018,0.8270676691729323,0.029388218155565724
2019,42,Santa Catarina,Sul,2105,7164788,295,110,29.37979462895483,0.3728813559322034,0.0013568652223518568
2019,43,Rio Grande do Sul,Sul,1671,11377239,497,170,14.68721892895104,0.3420523138832998,0.0010771124876721866
2019,50,Mato Grosso do Sul,Centro-Oeste,65394,2778986,79,79,2353.1604693222635,1.0,0.042152420118991604
2019,51,Mato Grosso,Centro-Oeste,11261,3484466,141,132,323.17720993690284,0.9361702127659575,0.007258745495916512
2019,52,Goiás,Centro-Oeste,120243,7018354,246,245,1713.2649621264475,0.9959349593495935,0.0775076222951327
2019,53,Distrito Federal,Centro-Oeste,38568,3015268,1,1,1279.0902831854414,1.0,0.024860607076326088
2020,11,Rondônia,Norte,3937,1796460,52,49,219.15322356189395,0.9423076923076923,0.004150641836614207
2020,12,Acre,Norte,7675,894470,22,20,858.050018446678,0.9090909090909091,0.008091484911357387
2020,13,Amazonas,Norte,5983,4207714,62,44,142.19122307267082,0.7096774193548387,0.006307668302886156
2020,14,Roraima,Norte,488,631181,15,12,77.31538180014924,0.8,0.0005144813858947759
2020,15,Pará,Norte,3532,8690745,144,120,40.64093469547202,0.8333333333333334,0.0037236644569269436
2020,16,Amapá,Norte,61,861773,16,8,7.078430166644812,0.5,6.431017323684699e-05
2020,17,Tocantins,Norte,1901,1590248,139,115,119.54110302292472,0.8273381294964028,0.0020041580216925594
2020,21,Maranhão,Nordeste,2563,7114598,217,130,36.02452310025106,0.5990783410138248,0.002702081541082604
2020,22,Piauí,Nordeste,2212,3281480,224,119,67.40860831088412,0.53125,0.002332034478686976
2020,23,Ceará,Nordeste,24057,9187103,184,169,261.85621299772083,0.9184782608695652,0.02536245635342341
2020,24,Rio Grande do Norte,Nordeste,6881,3534165,167,150,194.69945517540918,0.8982035928143712,0.007254398394143346
2020,25,Paraíba,Nordeste,6687,4039277,223,173,165.5494287715351,0.7757847533632287,0.007049870957947472
2020,26,Pernambuco,Nordeste,20066,9616621,185,180,208.65956971788736,0.972972972972973,0.021154884199517568
2020,27,Alagoas,Nordeste,2329,3351543,102,82,69.49038099764795,0.803921568627451,0.0024553834994855187
2020,28,Sergipe,Nordeste,1845,2318822,75,55,79.56626252467848,0.7333333333333333,0.0019451191741308637
2020,29,Bahia,Nordeste,82954,14930634,417,404,555.5959646455736,0.9688249400479616,0.08745551001130172
2020,31,Minas Gerais,Sudeste,81944,21292666,853,721,384.8461249521314,0.8452520515826495,0.08639070222492114
2020,32,Espírito Santo,Sudeste,7294,4064052,78,31,179.4760500111711,0.3974358974358974,0.007689809894910852
2020,33,Rio de Janeiro,Sudeste,4441,17366189,92,78,25.572680338789354,0.8478260869565217,0.004681991464669467
2020,35,São Paulo,Sudeste,205567,46289333,645,621,444.0915145612489,0.9627906976744186,0.21672212101276925
2020,41,Paraná,Sul,263366,11516840,399,364,2286.7904737757926,0.9122807017543859,0.27765759155238434
2020,42,Santa Catarina,Sul,11807,7252502,295,133,162.79898992099555,0.45084745762711864,0.012447708449302498
2020,43,Rio Grande do Sul,Sul,3992,11422973,497,159,34.94711928321988,0.3199195171026157,0.0042086264190408715
2020,50,Mato Grosso do Sul,Centro-Oeste,52064,2809394,79,79,1853.2110483613192,1.0,0.05488925999021642
2020,51,Mato Grosso,Centro-Oeste,34867,3526220,141,138,988.7925313792106,0.9787234042553191,0.03675906246310072
2020,52,Goiás,Centro-Oeste,62839,7113540,246,238,883.3717108500128,0.967479674796748,0.06624896682016768
2020,53,Distrito Federal,Centro-Oeste,47176,3055149,1,1,1544.1472739954745,1.0,0.049736012010188416
2021,11,Rondônia,Norte,2320,1815278,52,52,127.80411595358949,1.0,0.004296455424274973
2021,12,Acre,Norte,14940,906876,22,22,1647.4137588821404,1.0,0.02766769139597763
2021,13,Amazonas,Norte,8326,4269995,62,56,194.9885187219189,0.9032258064516129,0.01541908959591096
2021,14,Roraima,Norte,116,652713,15,10,17.771976351014917,0.6666666666666666,0.00021482277121374866
2021,15,Pará,Norte,5137,8777124,144,115,58.52714397107754,0.7986111111111112,0.00951331530797437
2021,16,Amapá,Norte,280,877613,16,12,31.904723380351022,0.75,0.0005185377236193933
2021,17,Tocantins,Norte,9572,1607363,139,122,595.5095395377398,0.8776978417266187,0.01772658246601726
2021,21,Maranhão,Nordeste,1368,7153262,217,118,19.12414224447532,0.543778801843318,0.002533427163969036
2021,22,Piauí,Nordeste,3997,3289290,224,118,121.51558543029043,0.5267857142857143,0.007402126004666839
2021,23,Ceará,Nordeste,35451,9240580,184,171,383.64474957199656,0.9293478260869565,0.06565243157153969
2021,24,Rio Grande do Norte,Nordeste,3841,3560903,167,130,107.8658980601269,0.7784431137724551,0.007113226415793178
2021,25,Paraíba,Nordeste,16099,4059905,223,181,396.5363721564913,0.8116591928251121,0.029814067187673616
2021,26,Pernambuco,Nordeste,36431,9674793,185,172,376.5558601615559,0.9297297297297298,0.06746731360420756
2021,27,Alagoas,Nordeste,7618,3365351,102,84,226.36568964128855,0.8235294117647058,0.014107929923330494
2021,28,Sergipe,Nordeste,764,2338474,75,51,32.670878530186776,0.68,0.0014148672173043446
2021,29,Bahia,Nordeste,25098,14985284,417,329,167.48431327694556,0.7889688249400479,0.04647949924071262
2021,31,Minas Gerais,Sudeste,22285,21411923,853,569,104.0775272730058,0.6670574443141852,0.04127004703877921
2021,32,Espírito Santo,Sudeste,8737,4108508,78,65,212.65627327487252,0.8333333333333334,0.016180228897366568
2021,33,Rio de Janeiro,Sudeste,2851,17463349,92,73,16.325620017099812,0.7934782608695652,0.005279825178710323
2021,35,São Paulo,Sudeste,157900,46649132,645,609,338.4843259248639,0.9441860465116279,0.29241823771250786
2021,41,Paraná,Sul,34713,11597484,399,301,299.31492037410874,0.7543859649122807,0.06428571428571428
2021,42,Santa Catarina,Sul,18874,7338473,295,107,257.19247042266153,0.36271186440677966,0.03495314641283011
2021,43,Rio Grande do Sul,Sul,10878,11466630,497,190,94.86658242221124,0.3822937625754527,0.020145190562613432
2021,50,Mato Grosso do Sul,Centro-Oeste,9934,2839188,79,78,349.88877101481125,0.9873417721518988,0.018396977665839476
2021,51,Mato Grosso,Centro-Oeste,22361,3567234,141,134,626.8442159948015,0.950354609929078,0.04141079299233305
2021,52,Goiás,Centro-Oeste,63763,7206589,246,239,884.7875187554057,0.9715447154471545,0.11808400311122634
2021,53,Distrito Federal,Centro-Oeste,16326,3094325,1,1,527.611029869196,1.0,0.030234453127893624
2022,11,Rondônia,Norte,14267,1581196,52,51,902.2916830045104,0.9807692307692307,0.01015517841496079
2022,12,Acre,Norte,3404,830018,22,20,410.1115879414663,0.9090909090909091,0.002422949977186972
2022,13,Amazonas,Norte,5440,3941613,62,45,138.01456408835674,0.7258064516129032,0.0038721644758804726
2022,14,Roraima,Norte,60,636707,15,10,9.423486784345075,0.6666666666666666,4.270769642515227e-05
2022,15,Pará,Norte,6125,8120131,144,125,75.42981757314014,0.8680555555555556,0.004359744010067628
2022,16,Amapá,Norte,293,733759,16,8,39.93136711099966,0.5,0.00020855591754282693
2022,17,Tocantins,Norte,20707,1511460,139,135,1369.9998676776097,0.9712230215827338,0.014739137831260468
2022,21,Maranhão,Nordeste,7195,6776699,217,185,106.17263655948125,0.8525345622119815,0.005121364596316177
2022,22,Piauí,Nordeste,31602,3271199,224,207,966.0677934910105,0.9241071428571429,0.0224941437071277
2022,23,Ceará,Nordeste,42774,8794957,184,180,486.3468917471683,0.9782608695652174,0.030446316781491053
2022,24,Rio Grande do Norte,Nordeste,42112,3302729,167,166,1275.0667705403623,0.9940119760479041,0.02997510853093354
2022,25,Paraíba,Nordeste,28894,3974687,223,217,726.9503233839545,0.9730941704035875,0.020566603008472496
2022,26,Pernambuco,Nordeste,16094,9056843,185,184,177.69988946479475,0.9945945945945946,0.011455627771106678
2022,27,Alagoas,Nordeste,33647,3127683,102,98,1075.7803779986655,0.9607843137254902,0.023949764360284974
2022,28,Sergipe,Nordeste,5203,2210004,75,68,235.42943813676357,0.9066666666666666,0.0037034690750011212
2022,29,Bahia,Nordeste,35935,14141626,417,361,254.10797881375169,0.8657074340527577,0.025578351183964114
2022,31,Minas Gerais,Sudeste,89346,20539989,853,741,434.98562730486367,0.8686987104337632,0.06359603074669425
2022,32,Espírito Santo,Sudeste,11241,3833712,78,73,293.21451376629227,0.9358974358974359,0.008001286925252277
2022,33,Rio de Janeiro,Sudeste,11094,16055174,92,90,69.09921997731074,0.9782608695652174,0.007896653069010655
2022,35,São Paulo,Sudeste,350404,44411238,645,628,788.9984962815042,0.9736434108527132,0.24941579430265093
2022,41,Paraná,Sul,156241,11444380,399,378,1365.2203090075654,0.9473684210526315,0.11121155328603693
2022,42,Santa Catarina,Sul,85166,7610361,295,228,1119.0796336730937,0.7728813559322034,0.06062072789574197
2022,43,Rio Grande do Sul,Sul,67290,10882965,497,355,618.3057650189999,0.7142857142857143,0.04789668154080827
