regiao,semana_epidemiologica,anos_disponiveis,casos_media,casos_mediana,incidencia_media_100mil,incidencia_mediana_100mil,incidencia_q25_100mil,incidencia_q75_100mil,incidencia_minima_100mil,incidencia_maxima_100mil
Nordeste,11,10,6569.5,3304.5,11.57120956636909,5.921987826802418,4.908120276726132,9.140097532212158,2.773041526208766,41.38702946570198
Nordeste,12,10,6544.6,3530.5,11.53903164929172,6.218660309334154,5.422991802631732,10.236216136118815,2.7166645701486134,43.41637190132192
Nordeste,13,10,6376.4,3670.5,11.25242283692182,6.560145344076236,5.1168745742600725,12.016458773125189,2.751900167686209,38.09350649641715
Nordeste,14,10,7148.6,4128.5,12.60817485881141,7.203500352097166,5.8203769196669,13.758681777565082,4.214177465496422,44.66479395188018
Nordeste,15,10,7139.4,4941.0,12.598378309723188,8.620308191665524,5.844366873296362,14.45138540190832,4.790279485236108,40.90902214480099
Nordeste,16,10,7307.5,5359.5,12.910395684601264,9.378516463464463,5.8928629720953944,16.68701517618065,4.7393211765290575,36.873099526937345
Nordeste,17,10,7024.6,5634.0,12.415283704558606,9.82715465833535,6.1375603283043425,15.499291093031433,5.306480989161883,29.245993703330377
Nordeste,18,10,6975.2,5696.0,12.337376922660095,9.90862823987369,5.868419670477351,16.10464387433418,5.305314564363711,25.8596707779732
Nordeste,19,10,6897.1,6038.0,12.199848609817554,10.551219524948788,5.885540326977968,16.353817785476927,5.116208762458866,24.145376352537646
Nordeste,20,10,6724.1,6155.5,11.899089079730519,10.754789329877664,5.613200545143391,17.55597032637743,4.8026119443742665,24.91198336107847
Nordeste,21,10,6000.8,5351.5,10.616031435447253,9.344550713483164,5.083594597013469,14.60387198401164,4.011935622004333,21.6369796730401
Nordeste,22,10,5697.4,5393.0,10.088895825510589,9.408049887277633,4.432021668487765,11.303087787172554,3.8652213894190637,22.94332192625764
Nordeste,23,10,5260.6,5062.5,9.310336521129052,8.877679337450562,4.532801722953854,10.538508343362055,3.608471482394842,20.42394758076667
Nordeste,24,10,4688.3,4470.5,8.301813087753061,7.839639843305699,4.314820631212594,9.047916207949177,3.103704658381236,18.16437799712008
Nordeste,25,10,4076.5,3544.0,7.222149586082635,6.215116510495447,3.5894526950376675,8.648916800040505,2.5482864921655732,16.85803574390254
Nordeste,26,10,3697.1,3174.5,6.54464479333908,5.567120367179879,3.367601213897384,8.38582368192657,2.228659056890522,14.179485241506914
Nordeste,27,10,3630.1,3091.0,6.42004822874451,5.420144234031793,3.762744670371461,8.262670602544372,2.0784516282913175,12.7066483873891
Nordeste,28,10,3359.6,2801.0,5.943083155413082,5.0009162967474925,3.482264448891308,7.499449289181749,1.9037918275945684,11.934120570607607
Nordeste,29,10,3018.2,2554.0,5.338981425436207,4.558403257582572,3.359268484193413,6.433608584462512,1.6033769703961591,10.637504916188341
Nordeste,30,10,2630.9,2207.0,4.652883982736199,3.860380061363765,3.14133635194508,5.594862108835499,1.4514229437899875,9.309349962066984
Nordeste,31,10,2518.3,2121.0,4.457468014123351,3.709554012165157,2.9688232479694747,5.347570603123876,1.577178000291647,9.137077328527164
Nordeste,32,10,2299.1,1992.5,4.066908493228809,3.4810488910377932,2.6541226881070035,4.641965818658947,1.5457392361662319,8.068804173784766
Nordeste,33,10,2094.8,1789.5,3.7044240843304728,3.1263715671612786,2.503453109517479,4.461275721504039,1.3955318075670275,6.998262070808251
Nordeste,34,10,1824.0,1499.0,3.2241994856926914,2.6187747751608423,2.2344712248683014,3.7232531517939496,1.3326542793161977,6.36568198987189
Nordeste,35,10,1596.1,1316.5,2.820704659272674,2.3210258694307013,1.8056872269891397,3.3612035703248715,1.1475148905776436,5.880327211123056
Nordeste,36,10,1476.7,1235.5,2.607274280089105,2.158565435017329,1.6259162337969677,3.4270988723975484,1.0130268440411465,5.545660197617543
Nordeste,37,10,1358.9,1118.5,2.398910618466733,1.9914879600790183,1.5391874314328162,3.0697492687069725,1.0636781862432039,5.028766119166619
Nordeste,38,10,1295.3,1092.0,2.2857054725118235,1.907917190458154,1.532770450925319,3.0466355656900896,0.9466561197763816,4.617003039722662
Nordeste,39,10,1146.2,974.0,2.0222572329378243,1.7173778012447785,1.3074348627384216,2.7636521664144182,0.8331272493234945,3.816255263952925
Nordeste,40,10,1080.0,889.5,1.9077122100512671,1.5942802396474431,1.3210437610074002,2.537732174586559,0.8505932293931695,3.6865936985109986
Nordeste,41,10,1014.8,877.0,1.7912260089899408,1.5687747097058502,1.2151999214665057,2.2578733484759197,0.8156612692538197,3.402740001192185
Nordeste,42,10,982.0,901.5,1.733705978488197,1.6140328555522578,1.2060455217141215,2.137552539724077,0.8994979735882594,3.068072987686672
Nordeste,43,10,881.6,821.0,1.5549675846074702,1.4571189860197604,1.2619214302341784,1.8241772846285045,0.74579734897512,2.785971473684642
Nordeste,44,10,881.9,834.5,1.5564878033899496,1.4916455897044352,1.1159640401721354,1.9372049270950724,0.845353435372267,2.5687007424035757
Nordeste,45,10,892.0,881.5,1.5758715685088116,1.5777946435159311,1.1968558211528633,1.8279714445236341,0.9256969436927717,2.389978044091731
Nordeste,46,10,868.3,881.0,1.53354546659213,1.5453714042733462,1.1230471018699069,1.8738370086490344,0.8278874553025921,2.337412544588247
Nordeste,47,10,845.6,924.0,1.4932715511040795,1.6355509810943598,1.1935069229425543,1.6830149065197801,0.74579734897512,2.1744594961274473
Nordeste,48,10,842.6,873.5,1.486794188002272,1.5611076212371735,1.1391066141278978,1.7659501156943156,0.7737429170865997,2.0496692073200866
Nordeste,49,10,867.7,921.0,1.5312645140414696,1.651151730569965,1.1237089126335824,1.7508158134058434,0.845353435372267,2.302843238004294
Nordeste,50,10,853.2,797.0,1.503938767282021,1.440818661636993,1.1640452179026832,1.706735857634717,0.9239503456858041,2.6669976657007557
Nordeste,51,10,732.8,733.0,1.292053575345863,1.3131408369783455,0.9965014468400428,1.4655299875453824,0.7335711629263474,2.0409988638035044
