dimensao,grupo,horizonte,subconjunto,threshold,observacoes,municipios,positivos,negativos,prevalencia,average_precision,roc_auc,brier_score,precision,recall,f1,balanced_accuracy,alertas,proporcao_alertas,tn,fp,fn,tp
regiao,Centro-Oeste,2,early_warning,0.190783,19856,467,1021,18835,0.05142022562449637,0.36738022891701816,0.8891863122892838,0.03934623034400669,0.30604982206405695,0.5896180215475024,0.4029451137884873,0.7585732794225434,1967,0.09906325543916196,17470,1365,419,602
regiao,Nordeste,2,geral,0.190783,91443,1793,9311,82132,0.101822993558829,0.7857839766570061,0.9345415138183769,0.04092603348806342,0.5984384182688272,0.7655461282354205,0.6717557251908397,0.8536553024657354,11911,0.13025600647397834,77349,4783,2183,7128
regiao,Nordeste,2,early_warning,0.190783,82246,1793,3183,79063,0.03870097025995185,0.2500204406949845,0.8417782147896715,0.03280890407560647,0.2900668813475353,0.3678919258561106,0.324376731301939,0.6658211763654407,4037,0.049084453955207545,76197,2866,2012,1171
regiao,Norte,2,geral,0.190783,22950,450,3329,19621,0.14505446623093682,0.8422856333262411,0.9401730072344647,0.04907064801608458,0.6246569075937786,0.8203664764193451,0.7092585378522269,0.8683657977122463,4372,0.19050108932461873,17980,1641,598,2731
regiao,Norte,2,early_warning,0.190783,19635,450,978,18657,0.04980901451489687,0.29398981019829173,0.8376035661763055,0.04075451649401634,0.296113074204947,0.4284253578732106,0.35018804847471796,0.6875202846609983,1415,0.07206518971224854,17661,996,559,419
regiao,Sudeste,2,geral,0.190783,85068,1668,12708,72360,0.1493863732543377,0.8538834585448656,0.9530796512314794,0.0497907331881473,0.6212493570326342,0.8553666981429021,0.7197483860288031,0.8818914751079353,17497,0.2056825128132788,65733,6627,1838,10870
regiao,Sudeste,2,early_warning,0.190783,71946,1667,3261,68685,0.04532566091235093,0.29581933315826847,0.8711400214977303,0.03709276548544835,0.28929551692589206,0.48482060717571296,0.362365344946138,0.7141362990744984,5465,0.07595974758846913,64801,3884,1680,1581
regiao,Sul,2,geral,0.190783,60741,1191,6476,54265,0.10661661809980079,0.7681534774141573,0.9181968810893991,0.044210098525286366,0.6310026385224274,0.7385731933292156,0.6805634604439386,0.8435149206303316,7580,0.12479215027740735,51468,2797,1693,4783
regiao,Sul,2,early_warning,0.190783,54323,1190,2231,52092,0.04106916039246728,0.20028474873103347,0.7966340358830718,0.036179880088303,0.29649840836743974,0.29224562976243834,0.2943566591422122,0.6312740857097533,2199,0.04048009130570845,50545,1547,1579,652
regiao,Centro-Oeste,3,geral,0.167991,23350,467,3838,19512,0.16436830835117772,0.7690404959303763,0.9164504276947407,0.0728758176151417,0.4789702140398144,0.8337675872850443,0.608422853883449,0.8276822766273519,6681,0.2861241970021413,16031,3481,638,3200
regiao,Centro-Oeste,3,early_warning,0.167991,19438,467,1354,18084,0.06965737215762939,0.31256667174892855,0.8399597014359708,0.056238093345037654,0.2581436077057793,0.5443131462333826,0.35020194820622474,0.7135965200310908,2855,0.14687725074596153,15966,2118,617,737
regiao,Nordeste,3,geral,0.167991,89650,1793,9138,80512,0.10192972671500279,0.649076195837676,0.8863314497763666,0.056177425479821665,0.44283799985894634,0.6871306631648063,0.5385770039027319,0.7945043220434524,14179,0.15815950920245397,72612,7900,2859,6279
regiao,Nordeste,3,early_warning,0.167991,80679,1793,4202,76477,0.052082945995860136,0.22937092046089105,0.7980200369711689,0.044888609806548914,0.24965010496850945,0.3396001903855307,0.28775962895745105,0.6417589847935603,5716,0.07084867189727191,72188,4289,2775,1427
regiao,Norte,3,geral,0.167991,22500,450,3283,19217,0.1459111111111111,0.7356598775600484,0.8957264635106517,0.06828978836536799,0.4845720939258684,0.7605848309473043,0.591986723565671,0.8111869359503134,5153,0.2290222222222222,16561,2656,786,2497
