dimensao,grupo,horizonte,subconjunto,threshold,observacoes,municipios,positivos,negativos,prevalencia,average_precision,roc_auc,brier_score,precision,recall,f1,balanced_accuracy,alertas,proporcao_alertas,tn,fp,fn,tp
porte_populacional,Muito grande,3,early_warning,0.167991,2037,47,61,1976,0.029945999018163968,0.29294183918794575,0.9218822592420521,0.025150863622632295,0.22448979591836735,0.7213114754098361,0.3424124513618677,0.8221941992433797,196,0.09621993127147767,1824,152,17,44
porte_populacional,Muito pequeno,3,geral,0.167991,190850,3817,22579,168271,0.11830757139114488,0.6729043499454548,0.8803229241500509,0.06290519139616157,0.4573184742647059,0.7051685194207007,0.554821848593083,0.7964426785704035,34816,0.18242598899659418,149377,18894,6657,15922
porte_populacional,Muito pequeno,3,early_warning,0.167991,167983,3817,9672,158311,0.0575772548412637,0.22289171413967301,0.773815854064911,0.05015674544122478,0.24228313931656026,0.3335401157981803,0.280680384565189,0.634905563328277,13315,0.07926397314013918,148222,10089,6446,3226
porte_populacional,Médio,3,geral,0.167991,17200,344,2569,14631,0.14936046511627907,0.7901954846832376,0.9402011422075572,0.06162722793820255,0.5177736202057999,0.8618139353834177,0.6468955441928415,0.8604401506593802,4276,0.2486046511627907,12569,2062,355,2214
porte_populacional,Médio,3,early_warning,0.167991,14590,344,807,13783,0.055311857436600415,0.28460484894035376,0.8786571123075038,0.044850223710099967,0.26773049645390073,0.5613382899628253,0.3625450180072029,0.7357224715431191,1692,0.1159698423577793,12544,1239,354,453
porte_populacional,Pequeno,3,geral,0.167991,53500,1070,7174,46326,0.13409345794392524,0.719245414594462,0.9097826149490187,0.06598603375263982,0.46223665584145224,0.7737663785893504,0.5787415941197935,0.8171815098921799,12009,0.22446728971962618,39868,6458,1623,5551
porte_populacional,Pequeno,3,early_warning,0.167991,46326,1069,2890,43436,0.062383974441998016,0.27907376180456933,0.8374208157664891,0.05133968698785233,0.260051495345613,0.45432525951557096,0.33077213754880974,0.6841568281185921,5049,0.10898847299572595,39700,3736,1577,1313
porte_populacional,Grande,4,geral,0.157138,14210,290,2118,12092,0.1490499648135116,0.7187713819445798,0.9201792786621422,0.07348336186579313,0.42213114754098363,0.8753541076487252,0.5695852534562212,0.8327316353658777,4392,0.30907811400422236,9554,2538,264,1854
porte_populacional,Grande,4,early_warning,0.157138,12087,290,767,11320,0.06345660627120046,0.25571474679146294,0.8587583674635241,0.0530439650683917,0.22168356104010578,0.6558018252933507,0.33135704874835314,0.7498973790777708,2269,0.18772234632249524,9554,1766,264,503
porte_populacional,Muito grande,4,geral,0.157138,2352,48,342,2010,0.14540816326530612,0.8151444838297617,0.9613191353175643,0.05172504167117242,0.5376884422110553,0.9385964912280702,0.6837060702875398,0.9006415291961247,597,0.2538265306122449,1734,276,21,321
porte_populacional,Muito grande,4,early_warning,0.157138,2004,47,75,1929,0.0374251497005988,0.22760762138357118,0.9013029203386901,0.03311585293136008,0.21686746987951808,0.72,0.3333333333333333,0.8094556765163297,249,0.12425149700598802,1734,195,21,54
porte_populacional,Muito pequeno,4,geral,0.157138,187033,3817,21932,165101,0.11726272903712179,0.4987134512599067,0.816635687208651,0.08102364601975506,0.3221383591621634,0.6577603501732628,0.4324729442096112,0.7369485695845448,44782,0.23943368282602534,134745,30356,7506,14426
porte_populacional,Muito pequeno,4,early_warning,0.157138,164705,3817,11635,153070,0.07064144986490999,0.16934542621976967,0.7235700674146881,0.06378240313854094,0.18319975474094513,0.3595186935969059,0.24271788325403273,0.618839506202647,22833,0.13862967123038158,134420,18650,7452,4183
porte_populacional,Médio,4,geral,0.157138,16856,344,2500,14356,0.14831514000949217,0.674833356332762,0.9012412231819449,0.0788148030508086,0.4119038234134805,0.836,0.5518880380248218,0.8140713290610198,5074,0.3010204081632653,11372,2984,410,2090
porte_populacional,Médio,4,early_warning,0.157138,14314,344,964,13350,0.06734665362582087,0.21766929399391244,0.8294691283198906,0.057871438000955205,0.21879936808846762,0.5746887966804979,0.3169336384439359,0.7132620013365036,2532,0.17688975827860837,11372,1978,410,554
porte_populacional,Pequeno,4,geral,0.157138,52430,1070,6997,45433,0.1334541293152775,0.5694632796514476,0.8576163353537624,0.08406439562246602,0.34272968254994507,0.7576104044590539,0.4719551282051282,0.7669261715689939,15467,0.2950028609574671,35267,10166,1696,5301
porte_populacional,Pequeno,4,early_warning,0.157138,45437,1069,3427,42010,0.07542311332174219,0.21173089640476359,0.7886177280591065,0.06502481994663363,0.2043847241867044,0.5059819083746717,0.29115943245739234,0.672652939428945,8484,0.18672007394854415,35260,6750,1693,1734
