modelo,horizonte,fold,treino_inicio,treino_fim,validacao_ano,linhas_treino,positivos_treino,prevalencia_treino,linhas_validacao,threshold,tempo_treinamento_segundos,tempo_predicao_segundos,geral_observacoes,geral_positivos,geral_negativos,geral_prevalencia,geral_pr_auc_average_precision,geral_roc_auc,geral_recall,geral_precision,geral_f1,geral_balanced_accuracy,geral_brier_score,geral_tn,geral_fp,geral_fn,geral_tp,early_warning_observacoes,early_warning_positivos,early_warning_negativos,early_warning_prevalencia,early_warning_pr_auc_average_precision,early_warning_roc_auc,early_warning_recall,early_warning_precision,early_warning_f1,early_warning_balanced_accuracy,early_warning_brier_score,early_warning_tn,early_warning_fp,early_warning_fn,early_warning_tp
logistic_regression,2,fold_2,2018,2021,2022,1152783,161182,0.139819896719504,278450,0.5,1.405874500000209,0.025815099999817903,278450,61694,216756,0.22156221942898185,0.8599034077272396,0.9236077013636662,0.7596524783609427,0.8424742490427655,0.7989226323909208,0.8596122658648537,0.06955739786113375,207993,8763,14828,46866,217125,14012,203113,0.0645342544617156,0.2651456968675766,0.7383475595729574,0.06722809020839281,0.6523545706371191,0.12189440993788819,0.5323782797912917,0.05617032003816363,202611,502,13070,942
hist_gradient_boosting,2,fold_2,2018,2021,2022,1152783,161182,0.139819896719504,278450,0.5,6.695922399998381,0.6470538000012311,278450,61694,216756,0.22156221942898185,0.8983034181100406,0.9466045687308687,0.7478847213667456,0.9088402143082257,0.8205438281375043,0.8632667623147001,0.057845368154031386,212128,4628,15554,46140,217125,14012,203113,0.0645342544617156,0.33596549488635835,0.8206439239691524,0.11925492435055667,0.6230425055928411,0.2001916856355577,0.5571386997622373,0.05099821618836504,202102,1011,12341,1671
logistic_regression,2,fold_3,2018,2022,2023,1442371,224251,0.15547386906697375,278450,0.5,1.6845855999999912,0.019088799999735784,278450,52815,225635,0.18967498653259113,0.8374666957159735,0.9249362190816284,0.7482722711350942,0.8228876025486195,0.7838081732628593,0.8552871094856006,0.06430828310283081,217129,8506,13295,39520,226717,12952,213765,0.05712849058517888,0.23542186233852805,0.7571656460230273,0.05474058060531192,0.5898502495840267,0.10018369365550374,0.5262171548501731,0.05048897798741438,213272,493,12243,709
hist_gradient_boosting,2,fold_3,2018,2022,2023,1442371,224251,0.15547386906697375,278450,0.5,9.030534699999407,0.6913084000007075,278450,52815,225635,0.18967498653259113,0.8844075438053657,0.9475723098001007,0.7324245006153555,0.8926502826814353,0.8046385855434217,0.8559035659280381,0.05330629130716891,220983,4652,14132,38683,226717,12952,213765,0.05712849058517888,0.3079034599637027,0.8335492420248076,0.10361334156886967,0.5536303630363036,0.17455775234131113,0.5492758542335495,0.04590734500854643,212683,1082,11610,1342
logistic_regression,2,fold_4,2018,2023,2024,1731959,278356,0.16071743037797084,278450,0.5,2.3009394999990036,0.022749000001567765,278450,95900,182550,0.3444065361824385,0.9185444827533009,0.9398197948538676,0.8316058394160584,0.8721866182549924,0.851412954125698,0.8837925116006613,0.08074201007311582,170863,11687,16149,79751,182221,15500,166721,0.08506154614451682,0.28824622193844457,0.7508341676097463,0.07193548387096774,0.595301655098772,0.12836009900420192,0.533694483017891,0.07348005978469266,165963,758,14385,1115
hist_gradient_boosting,2,fold_4,2018,2023,2024,1731959,278356,0.16071743037797084,278450,0.5,10.194037299999763,0.7031344000006357,278450,95900,182550,0.3444065361824385,0.9430895350860458,0.9560885091261584,0.8200938477580814,0.9246061603573947,0.8692197170645447,0.8924818732079917,0.0662648598257193,176137,6413,17253,78647,182221,15500,166721,0.08506154614451682,0.34620575220890776,0.8106337615227759,0.11651612903225807,0.587890625,0.19448632349773853,0.5544613022606244,0.06618955317802243,165455,1266,13694,1806
logistic_regression,3,fold_1,2018,2020,2021,857626,135744,0.15827878352568603,272881,0.5,1.2631765000005544,0.02100310000059835,272881,24432,248449,0.08953353293193736,0.6502747133354181,0.860862796555383,0.5544368041912247,0.755198751184702,0.6394297717670938,0.7683815784416632,0.047399948670018455,244058,4391,10886,13546,249891,9670,240221,0.03869687183612055,0.13809571410797028,0.6803060982190102,0.028955532574974147,0.5374280230326296,0.05495044647237759,0.5139761448638813,0.03609058466568696,239980,241,9390,280
hist_gradient_boosting,3,fold_1,2018,2020,2021,857626,135744,0.15827878352568603,272881,0.5,5.077547000000777,0.6162058999998408,272881,24432,248449,0.08953353293193736,0.7310750898103759,0.9120990440178753,0.5610265225933202,0.8135683760683761,0.6640988372093023,0.7741920444674517,0.04126984287673042,245308,3141,10725,13707,249891,9670,240221,0.03869687183612055,0.2316948016340938,0.8068844475842818,0.08996897621509824,0.5034722222222222,0.15265836111598527,0.5431986325828447,0.03338803472456707,239363,858,8800,870
logistic_regression,3,fold_2,2018,2021,2022,1147214,160992,0.14033301546180574,272881,0.5,1.5960446999997657,0.024826299999404,272881,60973,211908,0.22344172001715032,0.7763310102173895,0.8754604851465959,0.6310170075279222,0.8074501573976915,0.7084135035857968,0.7938599581687028,0.09435921005086483,202733,9175,22498,38475,212527,18972,193555,0.08926865762938356,0.26173590082398246,0.6910556005349556,0.05481762597512123,0.6611570247933884,0.10124117790216598,0.5260319433639394,0.07688722870050649,193022,533,17932,1040
hist_gradient_boosting,3,fold_2,2018,2021,2022,1147214,160992,0.14033301546180574,272881,0.5,6.605848200000764,0.624509000001126,272881,60973,211908,0.22344172001715032,0.8249059913086986,0.9081877473217812,0.6248339428927558,0.8594955556558228,0.7236156088851746,0.7977219151011715,0.08259838187017637,205680,6228,22875,38098,212527,18972,193555,0.08926865762938356,0.33403359035643443,0.7852831400809492,0.11184904069154543,0.626513138470623,0.18981170893152646,0.5526567153291108,0.07071753132571201,192290,1265,16850,2122
